theta_arcsec,intensity,enclosed_fraction
5.345,2.691938575796879E-06,0.9967737544089185
5.3500000000000005,2.6826499151861087E-06,0.9967789606045675
5.355,2.6731783846364415E-06,0.996784151512827
5.36,2.663972123052684E-06,0.9967893424210864
5.365,2.6548069326199232E-06,0.9967945003160494
5.37,2.6454601824256354E-06,0.9967996570513197
5.375,2.6363760609285966E-06,0.996804801220959
5.38,2.6273323495116885E-06,0.9968099240132795
5.385,2.618108377963028E-06,0.9968150468056
5.39,2.6091444306261278E-06,0.9968201437035847
5.3950000000000005,2.600220244828789E-06,0.9968252327813998
5.4,2.5911170880144633E-06,0.9968303165486154
5.405,2.5822713861382375E-06,0.9968353723509847
5.41,2.5734648094736648E-06,0.9968404281533542
5.415,2.5644805405010893E-06,0.9968454659483051
5.42,2.5557511917506375E-06,0.996850488699033
5.425,2.547060343880484E-06,0.9968555114497608
5.43,2.5381930720296787E-06,0.996860503679097
5.4350000000000005,2.529578219675947E-06,0.9968654933882479
5.44,2.521001255596944E-06,0.9968704733736756
5.445,2.5122491255613263E-06,0.9968754302634688
5.45,2.5037469477291522E-06,0.9968803871532619
5.455,2.4952820570054867E-06,0.9968853224473712
5.46,2.4866432481290885E-06,0.9968902467384875
5.465,2.4782519570048045E-06,0.996895170308038
5.47,2.4698973630516293E-06,0.9969000622196321
5.4750000000000005,2.461370088588699E-06,0.9969049541312262
5.48,2.4530879297133004E-06,0.9969098339594386
5.485,2.444841889050596E-06,0.9969146937091491
5.49,2.436424395419544E-06,0.9969195534588595
5.495,2.4282496469666325E-06,0.9969243901208369
5.5,2.420110448513055E-06,0.9969292179247982
5.505,2.4118010146049056E-06,0.9969340437329219
5.51,2.4037319866962134E-06,0.99693884000942
5.515,2.3956979510826713E-06,0.9969436362859182
5.5200000000000005,2.387698724369726E-06,0.9969484201159095
5.525,2.3795299215552727E-06,0.9969531850767329
5.53,2.3715994004358415E-06,0.9969579500375564
5.535,2.3637031441868986E-06,0.9969626922947951
5.54,2.3556385169405495E-06,0.9969674259466321
5.545,2.3478098923454887E-06,0.9969721581564791
5.55,2.340014998590174E-06,0.9969768607095881
5.555,2.332052929000168E-06,0.996981563262697
5.5600000000000005,2.324324612691309E-06,0.9969862546613377
5.565,2.3166295029707777E-06,0.9969909263245261
5.57,2.3087684027194822E-06,0.9969955979877144
5.575,2.3011388355611363E-06,0.997000249113925
5.58,2.293541960333655E-06,0.9970048900945594
5.585,2.2857802700596205E-06,0.9970095310751937
5.59,2.278247921412342E-06,0.9970141424614224
5.595,2.2707477594036297E-06,0.9970187529654392
5.6000000000000005,2.2630839481171614E-06,0.9970233554624482
5.605,2.2556473152176877E-06,0.9970279358914593
5.61,2.2482423728651805E-06,0.9970325163204705
5.615,2.240674937342533E-06,0.9970370801738446
5.62,2.2333325447493914E-06,0.997041630729677
5.625,2.2260213555942203E-06,0.9970461812855094
5.63,2.2185488197973157E-06,0.9970507068422737
5.635,2.2112992187986477E-06,0.9970552275282749
5.64,2.204080342932133E-06,0.9970597448788566
5.6450000000000005,2.196701257457683E-06,0.9970642358953761
5.65,2.1895430255283174E-06,0.9970687269118956
5.655,2.1824150490441604E-06,0.9970732066910886
5.66,2.1751279905416897E-06,0.997077668237096
5.665,2.168059730783632E-06,0.9970821297831034
5.67,2.1610212652408522E-06,0.9970865724895761
5.675,2.1538248359067263E-06,0.9970910047626714
5.68,2.1468451765372725E-06,0.9970954370357666
5.6850000000000005,2.1398948584118446E-06,0.9970998431622944
5.69,2.132787685434642E-06,0.9971042463587174
5.695,2.125895279250018E-06,0.997108645274027
5.7,2.1190317694433543E-06,0.9971130195886679
5.705,2.1120125045099946E-06,0.9971173939033088
5.71,2.1052060283905644E-06,0.9971217570132441
5.715,2.098428011719488E-06,0.9971261026396525
5.72,2.09149533050401E-06,0.9971304482660609
5.7250000000000005,2.0847734849204384E-06,0.9971347760474212
5.73,2.0780796696158987E-06,0.9971390931778161
5.735,2.0714137434127094E-06,0.9971434103082111
5.74,2.064593779805004E-06,0.997147703392461
5.745,2.0579828970445422E-06,0.9971519924052076
5.75,2.0513994843408564E-06,0.9971562792546782
5.755,2.0446631126110543E-06,0.9971605403382074
5.76,2.038133916059511E-06,0.9971648014217367
5.765,2.0316317779112433E-06,0.9971690543222567
5.7700000000000005,2.0249777501084978E-06,0.9971732874762439
5.775,2.0185290154376286E-06,0.9971775206302312
5.78,2.012106934771941E-06,0.9971817398636557
5.785,2.005534024883994E-06,0.9971859452751198
5.79,1.999164549336165E-06,0.9971901506865841
5.795,1.9928213305085042E-06,0.997194336703364
5.8,1.986328334019808E-06,0.9971985145580402
5.805,1.9800369359800264E-06,0.9972026924127164
5.8100000000000005,1.973771404337193E-06,0.9972068456579314
5.815,1.9673571377958013E-06,0.9972109961402799
5.82,1.9611426563546085E-06,0.9972151442428274
5.825,1.9549536578078867E-06,0.9972192675360432
5.83,1.9486169584044194E-06,0.9972233908292589
5.835,1.9424782529380055E-06,0.9972275068525749
5.84,1.9363646535512446E-06,0.9972316031385963
5.845,1.930104378710809E-06,0.9972356994246176
5.8500000000000005,1.9240403284820828E-06,0.9972397837992547
5.855,1.918001014073694E-06,0.9972438532587727
5.86,1.9118160410371074E-06,0.9972479227182907
5.865,1.905825544792111E-06,0.9972519758696463
5.87,1.8998594205331268E-06,0.9972560186821136
5.875,1.8937486459671409E-06,0.9972600614945808
5.88,1.8878306215502326E-06,0.9972640838429522
5.885,1.8819366115801046E-06,0.9972681001865916
5.89,1.875898951186645E-06,0.9972721165302311
5.8950000000000005,1.8700523351642464E-06,0.9972761084908697
5.9,1.86422938220295E-06,0.9972800985426836
5.905,1.8582637703615106E-06,0.9972840866551
5.91,1.8524875176283868E-06,0.9972880507676338
5.915,1.8467345826297587E-06,0.9972920148801675
5.92,1.840839971998555E-06,0.9972959734472079
5.925,1.835133055436449E-06,0.9972999117940266
5.93,1.8294491172099805E-06,0.9973038501408453
5.9350000000000005,1.823788045617974E-06,0.9973077794999798
